Confiture de figues,"Préparation : 10 min Cuisson : 30 min Ingrédients (pour 1 kg) : - 1 kg figues - 700 g de sucre - 75 cl d'eau - 2 citrons - 2 gousses de vanille Préparation : Piquer les figues à l'aide d'une aiguille à tricoter. Dans l'eau bouillante, mettre les figues 3 min, les retirer et les égoutter. Préparer le [...]"
Tarte aux figues,"Préparation : 20 min Cuisson : 18 min Ingrédients (pour 6 personnes) : - 20 figues fraîches - 1 pâte brisée - 150 g de sucre semoule - 100 g de sucre glace - 1 citron - 4 cuillères à soupe de confiture (abricot, ou à défaut groseille ou rhubarbe) Préparation : Foncer un grand moule à tarte beurré et [...]"
Sabayon de figues,Préparation : 30 min Cuisson : 30 min Ingrédients (pour 4 personnes) : - 1 à 2 figues violettes bien mûres par personne - 3 jaunes d'oeufs - 80 g de sucre - 10 cl de Porto blanc Préparation : Rincez les figues et coupez les en 6. Disposez-les en rosace dans des petits plats à gratin individuels. Dan [...]
Figues au chèvre,Préparation : 5 min Cuisson : 0 min Ingrédients (pour 6 personnes) : - 6 figues (encore assez fermes) - 125 g de fromage de chèvre frais (type Petit Billy) - 1 cuillère à soupe d'huile d'olive - ciboulette - persil Préparation : Mélanger le fromage à l'huile d'olive et aux herbes ciselées. Couper ch [...]
Figues au miel,"Préparation : 5 min Cuisson : 10 min Ingrédients (pour 4 personnes) : - 8 figues fraîches (assez grosses et mûres) - 4 cuillères à soupe de miel (miel aditionné d'amandes, de pistaches et noisettes de préférence) - glace à la vanille Préparation : Dans du papier aluminium, mettre deux figues fraîche [...]"
Poulet aux figues,"Préparation : 30 min Cuisson : 30 min Ingrédients (pour 4 personnes) : - 1,5 kg de figues - 1 poulet entier - 3 oignons - huile d'olive Préparation : Choisissez vos figues bien mûres. Les éplucher, c'est la partie la plus ingrate du travail! Faites revenir les oignons dans l'huile d'olive, lorsqu'il [...]"
Sorbet à la figue,"Préparation : 30 min Cuisson : 0 min Ingrédients (pour 6 personnes) : - 700 g de figues (violettes bien mûres) - 80 g de sucre - 6 cuillères à soupe d'eau Préparation : Faire un sirop avec le sucre et l'eau. Lorsqu'il bout, mettre à pocher les figues épluchées, les couper en deux si elles sont gross [...]"
Vinaigre de figue,"Préparation : 40 jour Cuisson : 10 min Ingrédients (pour X personnes) : - 1 kg de figues - 500 g de sucre - 1 l de vinaigre blanc Préparation : Couper les figues en deux. Les mettre dans un grand bocal, puis ajouter le sucre et le vinaigre. Laisser macérer le tout pendant 40 jours, dans un endroit p [...]"
Clafoutis aux figues,Préparation : 25 min Cuisson : 30 min Ingrédients (pour 4 personnes) : - 500 g de figues violettes - 4 oeufs - un peu de beurre - 100 g de sucre - 80 g de farine - 30 cl de crème fraîche - 15 cl de lait - 2 cuillères à soupe de sucre glace (facultatif) Préparation : Préchauffer le four à 210°C (Th 7 [...]
Lapin aux figues,Préparation : 15 min Cuisson : 150 min Ingrédients (pour 2 personnes) : - un demi-lapin ( 350 g environ ) - un oignon - 8 figues sèches - un verre de vin rouge - 4 cuillères à soupe de vinaigre balsamique - 250 ml d'eau - 2 cuillères à café bombées de fond de veau - romarin Préparation : Faites reve [...]
